id	pre_cutoff	date	label	region	source	original_language	statement	link
11	True	25 December 2020	1	ASIA-PACIFIC	Nikkei Asia	English	In an interview with Nikkei Asia, published in April, founder and Chairman Lim Wee Chai reflected on the demands on the company and its workers as it fought its own problems with lockdowns and working through the pandemic.	https://asia.nikkei.com/Business/Business-Spotlight/The-numbers-of-2020-from-grounded-flights-to-soaring-stocks
12	True	19 September 2020	1	ASIA-PACIFIC	The Times of India	English	Ankith Gupta has gotten his name entered in the India Book of Records and Asia Book of Records for Song Composed By An Individual In Maximum Languages.	https://timesofindia.indiatimes.com/entertainment/tamil/music/chennai-lad-ankith-gupta-sets-record-for-creating-a-song-in-14-languages/articleshow/78190929.cms
13	True	19 September 2020	1	ASIA-PACIFIC	The Times of India	English	A 27-year-old man was bludgeoned to death in Virada Vajadi village on Kalawad Road on the outskirts of Rajkot on Thursday night.	https://timesofindia.indiatimes.com/city/rajkot/man-bludgeoned-to-death-in-rajkot/articleshow/78193954.cms
14	True	12 August 2020	1	ASIA-PACIFIC	The Times of India	English	Andhra Pradesh chief minister YS Jaganmohan Reddy launched the YSR Cheyutha scheme to empower socio-economically deprived women, by ushering them into entrepreneurship and helping them build strong, rewarding businesses.	https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-cm-jaganmohan-reddy-launches-ysr-cheyutha-scheme/articleshow/77491438.cms
15	True	6 August 2019	1	ASIA-PACIFIC	The Times of India	English	Kabila and Malini attended the launch of Deepti Reddy’s co-working space ‘F215’ in Anna Nagar.	https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-cm-jaganmohan-reddy-launches-ysr-cheyutha-scheme/articleshow/77491438.cms
16	True	1 August 2019	1	ASIA-PACIFIC	Xinhua	English	According to a white paper released on July 25 2019 on China's efforts in protecting the rights and interests of persons with disabilities over the past 70 years, 1,702 cities and counties nationwide had initiated efforts to improve accessibility and remove barriers by 2018.	http://www.xinhuanet.com/english/2019-08/01/c_138276354.htm
17	True	20 February 2018	1	ASIA-PACIFIC	Xinhua	English	China started piloting national smart city development in 2012 to encourage use of the latest technology, such as artificial intelligence and Internet of Things, to help the flow of traffic, improve law enforcement and make public buildings more energy efficient.	http://www.xinhuanet.com/english/2018-02/20/c_136987058.htm
18	True	6 April 2017	1	ASIA-PACIFIC	The Times of India	English	Bigg Boss Kannada winner and filmmaker-actor Pratham went online on a live video talking to his followers after consuming pills.	https://timesofindia.indiatimes.com/entertainment/kannada/movies/news/bigg-boss-winner-pratham-attempts-suicide-on-live-video-survives/articleshow/58027624.cms
19	True	03 April 2017	1	ASIA-PACIFIC	China Daily	English	"Chinese President Xi Jinping published a signed article in the Finnish newspaper Helsinki Times on Monday under the title ""Our Enduring Friendship"" ahead of his state visit to Finland on April 4-6."	https://www.chinadaily.com.cn/world/2017xivisitsfinlandandus/2017-04/03/content_28785603.htm
20	True	3 August 2017	1	ASIA-PACIFIC	China Daily	English	Karakoram Highway stretches over 1,200 kilometers through the Karakoram Mountain, connecting Pakistan and Kashgar in Xinjiang. It's also known as China-Pakistan Friendship Highway.	https://www.chinadaily.com.cn/china/2017-08/03/content_30338991.htm
21	True	3 September 2017	1	ASIA-PACIFIC	China Daily	English	"In 2017, Chinese President Xi Jinping said that BRICS countries should work to usher in the second ""golden decade"" of cooperation."	https://www.chinadaily.com.cn/world/2017brics/2017-09/03/content_31502025.htm
22	True	3 October 2017	1	ASIA-PACIFIC	China Daily	English	President Xi Jinping sent a condolence message to his US counterpart, Donald Trump, over the mass shooting in Las Vegas in the US state of Nevada.	https://www.chinadaily.com.cn/world/2017-10/03/content_32786881.htm
23	True	3 November 2017	1	ASIA-PACIFIC	China Daily	English	The world's first smart ship, developed and built by China State Shipbuilding Corp, started its first trial voyage in Guangzhou, capital of Guangdong province.	https://www.chinadaily.com.cn/china/2017-11/03/content_34055628.htm
24	True	5 December 2017	1	ASIA-PACIFIC	China Daily	English	Ketmonov, chairman of the Central Council of the People's Democratic Party of Uzbekistan and deputy speaker of the legislative chamber of the Supreme Assembly of the Republic of Uzbekistan, said Uzbekistan played one of the most important roles in the ancient Silk Road, as it is located in the center of the road, geographically.	https://www.chinadaily.com.cn/world/2017-12/05/content_35220289.htm
25	True	27 December 2018	1	ASIA-PACIFIC	China Daily	English	China's social asset totaled 1210 trillion yuan by the end of 2016, according to China's National Balance Sheet 2018.	https://www.chinadaily.com.cn/a/201812/27/WS5c24446fa310d91214051414.html
26	True	25 October 2020	1	AFRICA	Daily News Egypt	English	In a statement, the European Union (EU) Minister for Foreign Affairs Josep Borrell called on Egypt, Ethiopia, and Sudan to resume talks regarding the Grand Ethiopian Renaissance Dam (GERD).	https://www.dailynewsegypt.com/2020/10/24/eu-calls-on-ethiopian-dam-parties-to-resume-talks/
27	True	14 October 2020	1	AFRICA	Daily News Egypt	English	Veteran Egyptian actor Mahmoud Yassin passes away at 79.	https://www.dailynewsegypt.com/2020/10/14/veteran-egyptian-actor-mahmoud-yassin-passes-away-at-79/
28	True	24 November 2020	1	AFRICA	Daily News Egypt	English	Famous Egyptian actor and singer Mohamed Ramadan was suspended from acting by the Egyptian Union of Artistic Syndicates, due to controversial photos that show him partying with Israeli celebrities in Dubai.	https://www.dailynewsegypt.com/2020/11/24/egyptian-actor-mohamed-ramadan-suspended-over-photos-with-israelis/
29	True	23 September 2020	1	AFRICA	Daily News Egypt	English	In June 2020, Israel finally approved the appointment of veteran diplomat, Amira Oron, as its new ambassador to Cairo.	https://www.dailynewsegypt.com/2020/09/23/president-al-sisi-receives-credentials-for-15-new-ambassadors-to-egypt/
30	True	12 August 2020	1	AFRICA	Daily News Egypt	English	Egypt’s Chief of General Intelligence Services (GIS), Abbas Kamel, travelled to South Sudan at the head of an Egyptian delegation, on a visit to meet President Salva Kiir and several state officials.	https://www.dailynewsegypt.com/2020/08/12/egypts-intelligence-head-meets-south-sudans-salva-kiir-in-juba/
31	True	12 September 2020	1	AFRICA	Daily News Egypt	English	Google has introduced the Arabic version to its free Read Along Android app to help children over five years old independently learn and build their reading skills.	https://www.dailynewsegypt.com/2020/09/12/google-introduces-arabic-language-read-along-app-to-improve-child-reading-skills/
32	True	26 May 2019	1	AFRICA	Daily News Egypt	English	Sheikh El-Hara was criticised by some people for violating privacy of celebrities through putting them under pressure to speak about their personal relationships, while other people are supporting the show for being bold and critical.	https://www.dailynewsegypt.com/2019/05/26/media-regulation-council-investigates-violations-of-sheikh-el-hara-tv-show/
33	True	24 October 2020	1	AFRICA	Daily News Egypt	English	After his resignation from his post as Chairperson and Managing Director of the Commercial International Bank - Egypt (CIB), Hisham Ezz Al-Arab released a statement of apology on social media.	https://www.dailynewsegypt.com/2020/10/24/hisham-ezz-al-arab-releases-resignation-from-cib-post/
34	True	10 October 2020	1	AFRICA	Daily News Egypt	English	Egypt’s consumer price index for urban consumers (CPI-U) rose to 3.8% in September 2020, compared to 3.4% in August 2020.	https://www.dailynewsegypt.com/2020/10/10/egypts-urban-inflation-rises-to-3-8-in-september-capmas/
35	True	26 July 2019	1	AFRICA	Daily News Egypt	English	The global net income of the American multinational hospitality company Hilton reached $225m during the fourth quarter (Q4) of 2018, while the full year’s net income recorded $769m, according to Hilton’s Fourth Quarter and Full Year 2018 Results. 	https://www.dailynewsegypt.com/2019/07/27/hiltons-global-net-income-reaches-769m-in-2018/
36	True	3 December 2020	1	AFRICA	Daily News Egypt	English	At least six persons were killed in a building collapse in Egypt’s northern coastal city of Alexandria.	https://www.dailynewsegypt.com/2020/12/03/6-killed-in-building-collapse-in-northern-egypts-alexandria/
37	True	1 August 2019	1	AFRICA	Daily News Egypt	English	A huge Roman Empire building that is believed to be the Roman Empire main senate was unearthed at the Pelusium archaeological site near North Sinai. The site was found by an Egyptian mission in cooperation of the Institute of Archeology and Ethnology of the Polish Academy of Sciences.	https://www.dailynewsegypt.com/2019/08/01/ancient-roman-empire-senate-unearthed-near-north-sinai/
38	True	1 March 2018	1	AFRICA	The Sun	English	The Lagos State Internal Revenue Service (LIRS) has introduced a new payment system that uses the electronic fiscal device (EFD) for hotels, restaurants, nightclubs and event centres and all stakeholders in the hospitality and tourism sector.	https://sunnewsonline.com/lirs-introduces-e-payment-for-consumption-tax/
39	True	5 April 2018	1	AFRICA	The Sun	English	Senator Mustapha Bukar dies at 63.	https://sunnewsonline.com/katsina-senator-dies-at-63/
40	True	17 February 2018	1	AFRICA	The Sun	English	Audu Kwaghtamen, a native doctor who hailed from Yelwater, a border community between Benue and Nasarawa states inhabited mainly by the Tiv, died and was buried by the roadside on March 11, 2004.	https://sunnewsonline.com/herbalists-corpse-turns-museum-13-years-after-burial/
41	True	8 May 2018	1	AFRICA	The Sun	English	Leading telecommunications services provider, Airtel Nigeria, launched its 4G LTE network in Abuja with an assurance that the latest technology would empower more Nigerians, stimulate economic activities across all sectors of the economy as well as provide unfettered access to affordable and reliable mobile broadband.	https://sunnewsonline.com/airtel-launches-4g-lte-in-abuja/
42	True	10 February 2018	1	AFRICA	The Sun	English	The award-winning scholar-writer, Dr. Lola Akande of the Department of English, University of Lagos, has released a novel:  Where Are You From? The novel dwells on citizenship, indigenisation, inter-ethnic marriages and youthful exuberance.	https://sunnewsonline.com/lola-akande-releases-new-novel/
43	True	16 January 2020	1	AFRICA	The Sun	English	From 1999 t0 2018, over N63 trillion budgeted to better Nigeria has yielded no fruit, a problem that has been attributed to pervasive corruption, said the MacArthur Foundation.	https://sunnewsonline.com/nigeria-has-wasted-n63-trillion-since-1999-macarthur-foundation/
44	True	4 June 2020	1	AFRICA	The Sun	English	As part of her contributions to the development of the girl-child, the Chief Executive Officer, African Alliance Insurance Plc, Funmi Omo, launched a scholarship initiative for young women across the country.	https://sunnewsonline.com/african-alliance-ceo-launches-women-scholarship-scheme/
45	True	29 January 2018	1	AFRICA	The Sun	English	In 2018, Delta Air Lines was named the world’s ‘most on-time’ airline by the aviation data and analytics company FlightGlobal FlightStats. 	https://sunnewsonline.com/delta-named-2017s-most-on-time-global-airline/
46	True	08 February 2018	1	AFRICA	The Sun	English	The United Nations Children’s Fund (UNICEF) said in 2018 that over 23 million children are malnourished in Nigeria while more than 10 million are also at the risk of malnourishment due to imminent food insecurity.	https://sunnewsonline.com/over-20m-nigerian-children-malnourished-unicef/
47	True	26 August 2020	1	AFRICA	The Sun	English	Milwaukee Bucks star forward Giannis Antetokounmpo was named NBA Defensive Player of the Year in 2020.	https://sunnewsonline.com/antetokounmpo-named-nba-defensive-player-of-the-year/
48	True	17 April 2018	1	AFRICA	The Sun	English	The United Nations announced in 2018 the return of 53 Sudanese refugees after they spent more than 14 years in refugee camps in eastern Chad.	https://sunnewsonline.com/un-announces-return-of-53-sudanese-refugees-from-chad/
49	True	5 February 2018	1	AFRICA	The Sun	English	The police force headquarters in Abuja declared Kazeem Afegbua wanted.	https://sunnewsonline.com/breaking-news-police-declares-kazeem-afegbua-wanted/?expand_article=1
50	True	21 April 2020	1	AFRICA	The Sun	English	A Boeing 747 British Airways (BA) flight BA9157 with registration number G-CIVO, airlifted 213 Britons (including 22 crew members)  from the Murtala Muhammed International Airport (MMIA), Lagos, as part of the United Kingdom’s repatriation efforts over the COVID19 pandemic.	https://sunnewsonline.com/covid19-uk-repatriates-213-citizens-from-lagos/
51	True	20 January 2018	1	MIDDLE EAST	Asharq Al-Awsat	English	Born to Greek immigrants in Izmet northwest of Istanbul in 1956, Meral Aksener pursued a degree in History at Istanbul University. 	https://english.aawsat.com/home/article/1149256/asharq-al-awsat-exclusive-meral-aksener-turkey%E2%80%99s-iron-lady-threatening-erdogan
52	True	8 October 2019	1	MIDDLE EAST	Khaleej Times	English	Swami Sivananda from India, whose passport mentions his date of birth as 08/08/1896, had his three-day visit to the UAE in 2019. 	https://www.khaleejtimes.com/uae/123-year-old-traveller-lands-at-abu-dhabi-airport
53	True	19 August 2019	1	MIDDLE EAST	Khaleej Times	English	Dubai's Burj Khalifa, the world's tallest building, showcased the national flag of Afghanistan on August 19 2019 on account of the country's 100th Independence Day.	https://www.khaleejtimes.com/uae/dubai/dubais-burj-khalifa-to-showcase-afghanistan-flag-today
54	True	23 November 2020	1	MIDDLE EAST	Khaleej Times	English	The landmark UAE reform allowing foreign investors 100 per cent ownership of businesses took effect from December 1, 2020.	https://www.khaleejtimes.com/government/uae-allows-100-ownership-of-businesses-by-foreign-nationals
55	True	10 December 2020	1	MIDDLE EAST	Khaleej Times	English	The General Directorate of Residency and Foreigners Affairs in Dubai announced in 2020 the launch of Al Saada Tourist Card, a free discount card that would give tourists access to a wide range of exclusive privileges, discounts, and promotions during their stay in the emirate.	https://www.khaleejtimes.com/uae/dubai-tourists-to-get-free-discount-cards-upon-arrival
56	True	22 December 2020	1	MIDDLE EAST	Khaleej Times	English	Starting January 1 2021, water pipe tobacco (shisha) or electrically heated cigarettes cannot be sold in the UAE unless they bear the digital tax stamp (DTS).	https://www.khaleejtimes.com/uae/uae-to-ban-e-cigarettes-shisha-without-digital-tax-stamp
57	True	27 August 2020	1	MIDDLE EAST	Khaleej Times	English	Emirates Integrated Telecommunications Company, or EITC, the holding group of du, announced in Aug 2020 a new operating model designed to digitally future-proof and enhance the telco's ability to adapt to evolving market dynamics.	https://www.khaleejtimes.com/telecom/dubai-telecom-firm-eitc-unveils-revamped-operating-model
58	True	25 July 2020	1	MIDDLE EAST	Khaleej Times	English	Dubai International Financial Centre (DIFC) Courts frozed assets of NMC Health chairman BR Shetty at the request of Dutch lender Credit Europe Bank's Dubai branch.	https://www.khaleejtimes.com/business/corporate/difc-courts-freezes-nmc-health-chairman-br-shettys-assets
59	True	9 Sep 2020	1	MIDDLE EAST	Khaleej Times	English	Adnoc Onshore, a subsidiary of the Abu Dhabi National Oil Company (Adnoc), announced the award of two Engineering, Procurement, and Construction (EPC) contracts to upgrade two Main Oil Lines (MOLs) and crude receiving facilities at the Jebel Dhanna Terminal in Abu Dhabi.	https://www.khaleejtimes.com/energy/adnoc-invests-245-million-to-upgrade-main-oil-lines
60	True	24 December 2019	1	MIDDLE EAST	Khaleej Times	English	Emirates president Sir Tim Clark stepped down after 35 years with the world's largest carrier for international passengers.	https://www.khaleejtimes.com/business/emirates-president-tim-clark-to-step-down
61	True	4 May 2020	1	MIDDLE EAST	Khaleej Times	English	Indian classical dancer Deepa Nair dies in Dubai.	https://www.khaleejtimes.com/uae/indian-classical-dancer-deepa-nair-dies-in-dubai
62	True	25 October 2020	1	MIDDLE EAST	Khaleej Times	English	Samsung Electronics chairman Lee Kun-hee dies at 78	https://www.khaleejtimes.com/business/samsung-electronics-chairman-lee-kun-hee-dies-at-78
63	True	13 December 2020	1	MIDDLE EAST	Khaleej Times	English	In 2020, Emaar Properties named Mohamed Alabbar, founder of the company and previously chairman of the board of directors, as managing director.	https://www.khaleejtimes.com/business/alabbar-named-emaars-managing-director-new-chairman-announced
64	True	20 December 2020	1	MIDDLE EAST	Khaleej Times	English	Sephardic Chief Rabbi of the State of Israel, Rabbi Yitzhak Yosef and Rabbi Levi Duchman led a prayer ceremony during a Jewish meeting to inaugurate the first certified Jewish school in the gulf.	https://www.khaleejtimes.com/uae/israels-chief-rabbi-prays-for-uae-leaders-wellbeing
65	True	10 June 2019	1	MIDDLE EAST	Khaleej Times	English	Nia Tony, an eight-year-old eco-warrior has collected nearly 15,000kg of paper waste in Dubai as part of the Emirates Environmental Group's nationwide recycling campaign.	https://www.khaleejtimes.com/uae/8-year-old-collects-15000kg-of-paper-waste-in-dubai
66	True	1 September 2019	1	MIDDLE EAST	Khaleej Times	English	His Highness Sheikh Mohammed bin Rashid Al Maktoum, Vice-President and Prime Minister of the UAE and Ruler of Dubai, has reprimanded government officials for not responding to complaints raised by the public.	https://www.khaleejtimes.com/uae/sheikh-mohammed-chides-government-officials-for-ignoring-complaints
67	True	1 October 2019	1	MIDDLE EAST	Khaleej Times	English	Dr Raed Safadi, chief economic advisor, Dubai Economy, said the emirate will continue to outpace global growth and those of advanced economies in the next couple of years on the back of Expo 2020 and developments related to the exhibition.	https://www.khaleejtimes.com/business/dubai-launches-virtual-company-licence-costs-dh850
68	True	23 December 2020	1	MIDDLE EAST	Khaleej Times	English	The Mohammad bin Rashid Centre for Islamic Culture announced that 3,184 people converted to Islam in 2020.	https://www.khaleejtimes.com/news/3184-people-accept-islam-in-uae-during-2020
69	True	29 September 2019	1	MIDDLE EAST	Khaleej Times	English	A personal bodyguard of the Custodian of the Two Holy Mosques, King Salman bin Abdulaziz Al Saud of Saudi Arabia, has been shot dead and seven others wounded, including security forces, during an altercation at a friend's home.	https://www.khaleejtimes.com/article/saudi-king-salmans-personal-bodyguard-shot-dead-by-friend
70	True	23 July 2019	1	MIDDLE EAST	Khaleej Times	English	The Government of the UAE has launched the new domain name of its official portal to become the first government domain in the world composed of a single letter (U), to facilitate the public access to information, services, projects, strategies and laws in the UAE.	https://www.khaleejtimes.com/government/uae-gets-worlds-first-single-letter-govt-domain
71	True	17 January 2020	1	MIDDLE EAST	Khaleej Times	English	In December 2019, Hala China wrapped up its second edition of Dubai Fashion Days, which saw over 12 designers from China and the Middle East put together a five-day fashion extravaganza under the able guidance of show director, Jerry Zhang China's 'father of fashion'.	https://www.khaleejtimes.com/uae/dubai-to-host-biggest-chinese-new-year-celebrations-outside-china
72	True	6 May 2019	1	MIDDLE EAST	Khaleej Times	English	An Asian beggar on visit visa, who was found to have made a whopping Dh100,000 in just a month, was arrested in Dubai's Al Quoz area. 	https://www.khaleejtimes.com/uae/beggar-making-dh100000-per-month-in-dubai-arrested
73	True	19 December 2020	1	MIDDLE EAST	Khaleej Times	English	His Highness Sheikh Mohammed bin Rashid Al Maktoum, Vice-President and Prime Minister of the UAE and Ruler of Dubai, has officially joined video-sharing social networking service TikTok.	https://www.khaleejtimes.com/government/sheikh-mohammed-launches-official-tiktok-account-shares-motivational-video
74	True	10 December 2019	1	MIDDLE EAST	Khaleej Times	English	The Islamabad High Court granted bail to former president Asif Ali Zardari in the fake accounts case on health grounds.	https://www.khaleejtimes.com/article/pakistans-ex-president-zardari-gets-bail-on-health-grounds
75	True	17 May 2019	1	MIDDLE EAST	Khaleej Times	English	Sheikh Hamdan married Sheikha Sheikha bint Saeed bin Thani Al Maktoum.	https://www.khaleejtimes.com/uae/dubai-crown-prince-sheikh-hamdan-brothers-get-married
76	True	20 March 2018	1	EUROPE	The Guardian	English	Research shows a majority of young people in a dozen countries in Europe do not follow a religion.	https://www.theguardian.com/world/2018/mar/21/christianity-non-christian-europe-young-people-survey-religion
77	True	3 May 2019	1	EUROPE	The Guardian	English	Major global survey shows European countries are among the gloomiest in the developed world, with citizens pessimistic about their national prospects, their youth and the world in general	https://www.theguardian.com/world/2019/may/03/european-countries-gloomiest-developed-world-poll
78	True	July 2 2021	1	EUROPE	The Guardian	English	Researchers from the Institute of Cancer Research at the Medical University of Vienna in Austria said a thorough review of 53 safety studies submitted to regulators by large chemical companies showed that most do not comply with modern international standards for scientific rigor, and lack the types of tests most able to detect cancer risks.	https://www.theguardian.com/business/2021/jul/02/glyphosate-herbicide-roundup-corporate-safety-studies
79	True	July 2 2021	1	EUROPE	The Guardian	English	France investigates fashion brands over forced Uyghur labour claims	https://www.theguardian.com/world/2021/jul/02/france-investigates-fashion-brands-over-forced-uyghur-labour-claims
80	True	July 1 2021	1	EUROPE	The Guardian	English	Over 50,000 EU citizens applied for settled status in the UK the day before the deadline of the application was due	https://www.theguardian.com/politics/2021/jul/01/eu-citizens-scramble-beat-uk-settled-status-deadline
81	True	July 1 2021	1	EUROPE	The Guardian	English	Amsterdam mayor apologises for city’s past role in slave trade	https://www.theguardian.com/world/2021/jul/01/amsterdam-mayor-apologises-for-citys-past-role-in-slave-trade
82	True	July 1 2021	1	EUROPE	The Guardian	English	Putin says he was jabbed with Russia’s Sputnik V vaccine	https://www.theguardian.com/world/2021/jun/30/putin-says-he-was-jabbed-with-russias-sputnik-v-vaccine
83	True	June 29 2021	1	EUROPE	The Guardian	English	England fans in UK can’t go to Rome for Euros quarter-final due to Covid rules, the FA saying it can’t sell tickets domestically due to Italy’s five-day quarantine period 	https://www.theguardian.com/football/2021/jun/29/england-fans-in-uk-cant-go-to-rome-for-euros-quarter-final-due-to-covid-rules
84	True	June 29 2021	1	EUROPE	The Guardian	English	David Frost, the UK's Brexit minister, appears to make light of Elton John’s concerns over EU musician visas	https://www.theguardian.com/uk-news/2021/jun/29/david-frost-says-elton-john-had-hits-before-uk-joined-eu
85	True	22 May 2021	1	EUROPE	The Guardian	English	Greek firefighters tackle major forest fire in conservation area near Athens, warning of a ‘huge ecological disaster’ after blaze in the Geraneia mountains	https://www.theguardian.com/world/2021/may/22/greek-firefighters-tackle-major-forest-fire-in-conservation-area-near-athens
86	True	6 October 2020	1	EUROPE	The telegraph	English	“Pandemic fatigue” is on the rise across Europe and with it comes the risk of further disease spread, the World Health Organization has warned	https://www.telegraph.co.uk/global-health/science-and-disease/apathy-towards-covid-19-growing-across-europe-warns/
87	True	5 October 2020	1	EUROPE	The telegraph	English	Public trust in the UK government’s response to the Covid-19 pandemic has been ranked one of the lowest in Europe, according to a study. 	https://www.telegraph.co.uk/global-health/science-and-disease/confidence-uks-covid-19-response-ranked-lowest-europe/
88	True	4 October 2020	1	EUROPE	The telegraph	English	Fears have been expressed for foreign exchange trips as peers urge the Government to scrap plans that would force all children from Europe to carry passports after Brexit is completed.	https://www.telegraph.co.uk/news/2020/10/04/fears-foreign-exchange-trips-peers-urge-government-scrap-plans/
89	True	24 September 2020	1	EUROPE	The telegraph	English	 EU warned Libya 'not safe for refugees' as it plans major reforms to migration policy,  Amnesty International report details rape and torture of refugees sent back to Libya after attempting to reach Europe 	https://www.telegraph.co.uk/news/2020/09/24/eu-warned-libya-not-safe-refugees-plans-major-reforms-migration/
90	True	23 September 2020	1	EUROPE	The telegraph	English	 Czech’s replacement health minister reintroduces slew of restrictions as policy dramatically unravells following ‘end of Covid’ parties 	https://www.telegraph.co.uk/news/2020/09/23/czechs-replacement-health-minister-reintroduces-slew-restrictions/
91	True	30 September 2020	1	EUROPE	France24	English	 Global temperatures boosted by climate change will still be higher than usual despite the cooling effect of a “moderate to strong” La Nina weather phenomenon, the UN said	https://www.france24.com/en/europe/20201030-2020-set-to-rank-among-hottest-years-on-record-despite-la-nina-cooling-un-says
92	True	30 October 2020	1	EUROPE	France24	English	 At least 19 people have been killed and hundreds injured after a powerful earthquake struck Turkey’s western coast and parts of Greece on Friday as both nations vowed to help the other in their recovery efforts. 	https://www.france24.com/en/europe/20201030-deadly-earthquake-strikes-turkey-and-greece
93	True	30 October 2020	1	EUROPE	France24	English	 The European Union will finance the transfer of patients across borders within the bloc to prevent hospitals from getting overwhelmed as Covid-19 infections and hospitalisations spike in the continent. 	https://www.france24.com/en/europe/20201029-eu-to-fund-transfer-of-covid-19-patients-between-countries-as-strain-on-hospitals-grows
94	True	11 November 2020	1	EUROPE	France24	English	 Russia's Sputnik V vaccine is 92% effective at protecting people from COVID-19 according to interim trial results, the country's sovereign wealth fund saidon Wednesday, as Moscow rushes to keep pace with Western drugmakers in the race for a shot. 	https://www.france24.com/en/europe/20201111-russia-says-its-covid-19-vaccine-sputnik-v-is-92-effective
95	True	11 November 2020	1	EUROPE	France24	English	Property prices in the Portuguese capital Lisbon have risen by more than 60 percent in just three years, with many apartments used mainly as holiday rentals. But now, with a major drop in tourists due to the Covid-19 pandemic, these flats are empty and the city authorities are hoping to convince landlords to rent them out to low-income families, who have largely been priced out of their own city	https://www.france24.com/en/tv-shows/focus/20201111-portugal-flats-in-lisbon-earmarked-for-low-income-families-as-tourism-plummets
96	True	11 November 2020	1	EUROPE	France24	English	 Russian peacekeeping troops deployed to Nagorno-Karabakh on Tuesday under a deal that halted six weeks of fighting between Azeri and ethnic Armenian forces, locking in place territorial gains by Azerbaijan. 	https://www.france24.com/en/europe/20201111-russia-deploys-peacekeepers-to-nagorno-karabakh-after-ceasefire-deal
97	True	26 January 2021	1	EUROPE	France24	English	 The European Union warned pharmaceutical giants that develop coronavirus vaccines to honor their contractual obligations after slow deliveries of shots from two companies hampered the bloc’s vaunted vaccine rollout in several nations. 	https://www.france24.com/en/europe/20210126-eu-chief-says-covid-19-pharmaceutical-firms-must-deliver-on-vaccine-obligations
98	True	10 December 2019	1	EUROPE	France24	English	 The leaders of Russia and Ukraine agreed on Tuesday to exchange all remaining prisoners from the conflict in east Ukraine by the end of the year, but left thorny questions about the region's status for future talks. 	https://www.france24.com/en/20191210-russia-and-ukraine-leaders-in-first-talks-agree-to-exchange-prisoners
99	True	10 December 2019	1	EUROPE	France24	English	 The World Anti-Doping Agency on Monday banned Russia for four years from major global sporting events including the 2020 Tokyo Olympics and the 2022 World Cup in Qatar over manipulated doping data, prompting an angry response from President Vladimir Putin. 	https://www.france24.com/en/20191210-russia-calls-olympics-ban-over-doping-politically-motivated
100	True	11 October 2019	1	EUROPE	France24	English	French President Emmanuel Macron inaugurated on Monday a monument in memory of hundreds of French soldiers who have died in foreign operations since the end of the Algerian war in 1963.	https://www.france24.com/en/20191111-live-macron-inaugurates-monument-for-armistice-day
