ID	Statement	Label (0 is False)	Source	Region	Date	Link	Comment	Original text
68	The original book of Esther was recently found in Iran by a Jew who lived there. The scroll is from 1500 years ago.	0	AFP FactCheck	MIDDLE EAST	21 April 2022	https://factcheck.afp.com/doc.afp.com.328L9B2		
69	A diamond-encrusted airplane is owned by the UAE-based airline Emirates.	0	AFP FactCheck	MIDDLE EAST	22 January 2022	https://factcheck.afp.com/doc.afp.com.9WC346		
70	Graphene in vaccines can cause people to burn.	0	AFP FactCheck	MIDDLE EAST	19 January 2022	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9W676P-1		
71	" Saudi Arabia treated world leaders ""differently"" by laying out different coloured carpets for their arrival."	0	AFP FactCheck	MIDDLE EAST	21 July 2022	https://factcheck.afp.com/doc.afp.com.32EV9CM		
72	"A bar in Jerusalem called ""Putin Pub"" was renamed ""Zelenskiy Pub"" -- using an alternative spelling of Ukraine President Volodymyr Zelensky's surname -- following Russia's invasion of Ukraine in late-February 2022."	0	AFP FactCheck	MIDDLE EAST	22 April 2022	https://factcheck.afp.com/doc.afp.com.326N66P		
73	120 non-Muslim spectators who came to watch the 2022 World Cup in Qatar accepted Islam.	0	AFP FactCheck	MIDDLE EAST	1 December 2022	https://factcheck.afp.com/doc.afp.com.32W77UY		
74	A massive fire went off at Qatar World Cup stadium during the Qatar World Cup tournament. 	0	AFP FactCheck	MIDDLE EAST	28 November 2022	https://factcheck.afp.com/doc.afp.com.32TB9F9		
75	Portuguese football star Cristiano Ronaldo tied the knot with Spanish model Georgina Rodriguez in Saudi Arabia.	0	AFP FactCheck	MIDDLE EAST	19 January 2023	https://factcheck.afp.com/doc.afp.com.337C2G2		
1	CNN said Cash App has gone under and that user funds will be redistributed via bankruptcy court. 	0	AFP FactCheck	NORTH AMERICA	13 September 2023	https://factcheck.afp.com/doc.afp.com.33UY2A7		
2	The deadly wildfires in the United States and Canada in the summer of 2023 are a deliberate policy to clear areas for urban redesign.	0	AFP FactCheck	NORTH AMERICA	11 September 2023	https://factcheck.afp.com/doc.afp.com.33UX2RZ		
3	"Wildfires in the US state of Washington were set intentionally to push ""smart city"" projects in the area."	0	AFP FactCheck	NORTH AMERICA	11 September 2023	https://factcheck.afp.com/doc.afp.com.33UP4ZU		
4	A new law in Florida requires fathers to complete a DNA test before signing a child's birth certificate, in order to prove they are the biological father. 	0	AFP FactCheck	NORTH AMERICA	11 September 2023	https://factcheck.afp.com/doc.afp.com.33UH9DZ		
5	"Canada had enacted a law to catalyze the country's use of digital IDs, an electronic currency and ""social credit"" monitoring."	0	AFP FactCheck	NORTH AMERICA	6 September 2023	https://factcheck.afp.com/doc.afp.com.33UC84A		
6	The United Nations' diplomatic security force was deployed to mediate between civilians and officials over wildfire evacuation orders.	0	AFP FactCheck	NORTH AMERICA	1 September 2023	https://factcheck.afp.com/doc.afp.com.33TY86A		
7	Blue objects that survived the August 2023 wildfires in the US state of Hawaii proved that lasers ignited the flames.	0	AFP FactCheck	NORTH AMERICA	31 August 2023	https://factcheck.afp.com/doc.afp.com.33TU43Q		
8	The US Centers for Disease Control and Prevention (CDC) has warned that people vaccinated against Covid-19 face a greater risk from a new strain of the virus than the unvaccinated. 	0	AFP FactCheck	NORTH AMERICA	31 August 2023	https://factcheck.afp.com/doc.afp.com.33U337G		
9	14 US cities have signed a pledge to ban meat, dairy and private vehicles by 2030 in an effort to fight climate change.	0	AFP FactCheck	NORTH AMERICA	30 August 2023	https://factcheck.afp.com/doc.afp.com.33TY48C		
10	"Bill Gates said in a post on X, formerly known as Twitter, that a ""tsunami of mRNA is coming -- whether you like it or not."""	0	AFP FactCheck	NORTH AMERICA	29 August 2023	https://factcheck.afp.com/doc.afp.com.33TX7Q9		
11	"Apollo 11 astronaut Buzz Aldrin admitted the 1969 Moon landing was ""just a prank""."	0	AFP FactCheck	NORTH AMERICA	26 August 2023	https://factcheck.afp.com/doc.afp.com.33RB4MA		
12	"Wildfires near the Canadian city of Kelowna were started intentionally to push people into ""15-minute smart cities."" "	0	AFP FactCheck	NORTH AMERICA	25 August 2023	https://factcheck.afp.com/doc.afp.com.33TC3K7		
13	In August 2023, US Food and Drug Administration (FDA) endorsed the use of ivermectin to treat or prevent Covid-19.	0	AFP FactCheck	NORTH AMERICA	22 August 2023	https://factcheck.afp.com/doc.afp.com.33T32NE		
14	Joe Biden fell asleep during an August 2023 event with survivors of the deadly wildfires that scorched the US state of Hawaii.	0	AFP FactCheck	NORTH AMERICA	22 August 2023	https://factcheck.afp.com/doc.afp.com.33T39HU		
15	Covid-19 vaccines are linked to a spike in meat allergies.	0	AFP FactCheck	NORTH AMERICA	22 August 2023	https://factcheck.afp.com/doc.afp.com.33RA3QC		
16	Each supplemental dose of Covid-19 vaccine increased a person's risk of contracting the coronavirus.	0	AFP FactCheck	NORTH AMERICA	16 August 2023	https://factcheck.afp.com/doc.afp.com.33R84AC		
17	Directed energy weapons started the deadly wildfires that scorched a historic town in the US state of Hawaii in August 2023. 	0	AFP FactCheck	NORTH AMERICA	11 August 2023	https://factcheck.afp.com/doc.afp.com.33R29CA		
18	"A new law in the US state of Illinois allows ""illegal immigrants"" to become police officers."	0	AFP FactCheck	NORTH AMERICA	11 August 2023	https://factcheck.afp.com/doc.afp.com.33QW26Z		
19	"The daughter of World Economic Forum (WEF) founder Klaus Schwab said ""permanent climate lockdowns"" are coming soon."	0	AFP FactCheck	NORTH AMERICA	11 August 2023	https://factcheck.afp.com/doc.afp.com.33QX7A8		
20	Ukraine has asked the Canadian government to send residents of Ukrainian descent to fight in the war against Russia. 	0	AFP FactCheck	NORTH AMERICA	10 August 2023	https://factcheck.afp.com/doc.afp.com.33QU4MP		
21	Skin cancer has only emerged in the past 60 years and is primarily attributable to factors other than sun exposure, such as diet and sunscreen use.	0	AFP FactCheck	NORTH AMERICA	9 August 2023	https://factcheck.afp.com/doc.afp.com.33QU9GQ		
22	Infant vaccination in developed countries is linked to higher mortality rates.	0	AFP FactCheck	NORTH AMERICA	9 August 2023	https://factcheck.afp.com/doc.afp.com.33QJ42W		
23	"Donald Trump was indicted for exercising his freedom of speech after the 2020 US election, and he has been ""threatened"" with the death penalty."	0	AFP FactCheck	NORTH AMERICA	4 August 2023	https://factcheck.afp.com/doc.afp.com.33QJ9QU		
24	American country music singer Jason Aldean debuted a new song to support company boycotts spearheaded by US conservatives.	0	AFP FactCheck	NORTH AMERICA	4 August 2023	https://factcheck.afp.com/doc.afp.com.33QN4F2		
25	Former US attorney general William Barr vowed to leap off a bridge if Donald Trump wins the Republican presidential nomination in 2024. 	0	AFP FactCheck	NORTH AMERICA	31 July 2023	https://factcheck.afp.com/doc.afp.com.33QF4T6	This is misleading	
26	FIFA president Gianni Infantino rebuked superstar Lionel Messi for not taking part in Argentina's friendly with Indonesia in Jakarta on June 19, 2023.	0	AFP FactCheck	LATIN AMERICA	28 June 2023	https://factcheck.afp.com/doc.afp.com.33KP3KF		
27	Anti-tank missile systems the United States sent to Ukraine ended up in the hands of a Mexican cartel.	0	AFP FactCheck	LATIN AMERICA	6 June 2023	https://factcheck.afp.com/doc.afp.com.33GZ8H2		
28	Mexico banned chemtrails and solar geoengineering after discovering a rogue climate balloon hovering over Baja (California Sur).	0	AFP FactCheck	LATIN AMERICA	10 March 2023	https://factcheck.afp.com/doc.afp.com.33AW9A9		
29	Argentina has issued banknotes featuring the image of football superstar Lionel Messi after the country's national team won the 2022 World Cup in Qatar.	0	AFP FactCheck	LATIN AMERICA	28 December 2022	https://factcheck.afp.com/doc.afp.com.33664AA		
30	Protesters threw objects at a bus carrying Brazil's national football team after the 2022 World Cup, where it was eliminated in a quarter-final match against Croatia.	0	AFP FactCheck	LATIN AMERICA	22 December 2022	https://factcheck.afp.com/doc.afp.com.334Y4KU		
31	In Dec 2022, a corrupt Brazilian politician was tied to a pole as he was being punished by the people.	0	AFP FactCheck	LATIN AMERICA	20 December 2022	https://factcheck.afp.com/doc.afp.com.334U484		
32	Brazil's defence ministry declared the 2022 presidential election result was fraudulent, and subsequently ordered the arrests of court officials and suspended congress.	0	AFP FactCheck	LATIN AMERICA	26 November 2022	https://factcheck.afp.com/doc.afp.com.32QY3RK		
33	There is a women-only village in southeastern Brazil called Noiva do Cordeiro.	0	AFP FactCheck	LATIN AMERICA	20 November 2022	https://factcheck.afp.com/doc.afp.com.32NJ7WB		
34	The US National Institutes of Health (NIH) has modified its page in September 2022 to recommend the anti-parasite drug ivermectin for Covid-19. 	0	AFP FactCheck	LATIN AMERICA	10 September 2022	https://factcheck.afp.com/doc.afp.com.32HW6YM		
35	A cosmological event called the “aphelion phenomenon” has been causing extremely cold weather on Earth since July 4, 2022, and will continue to do so until August 22, 2022, because of the increased distance to the sun. 	0	AFP FactCheck	LATIN AMERICA	2 August 2022	https://factcheck.afp.com/doc.afp.com.32FU233		
36	A Batman sculpture was worshipped by the ancient Mayans.	0	AFP FactCheck	LATIN AMERICA	20 June 2022	https://factcheck.afp.com/doc.afp.com.32CK9DY		
37	"Bolivian President Luis Arce had pledged his country would ""provide any kind of help to South Korea"". "	0	AFP FactCheck	LATIN AMERICA	1 June 2022	https://factcheck.afp.com/doc.afp.com.32BL4QC	This is misleading.	
38	In 2022, Russia sent two nuclear bombers to Venezuela. 	0	AFP FactCheck	LATIN AMERICA	8 March 2022	https://factcheck.afp.com/doc.afp.com.324P7U2		
39	Mexico's Father Ángel Cuevas died following vaccination against Covid-19.	0	AFP FactCheck	LATIN AMERICA	30 November 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9TM44A		
40	A foetus carved into a roadside embankment in Colombia is a sculpture made by a man whose wife and unborn child were killed by a drunk driver. 	0	AFP FactCheck	LATIN AMERICA	3 November 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9QX2FH-1		
41	The former leaders of Haiti, Tanzania, Burundi, eSwatini and Ivory Coast were assassinated because they opposed Covid-19 vaccines. 	0	AFP FactCheck	LATIN AMERICA	29 October 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9QL2W7-1		
42	"A town in Honduras where the sky ""rains fish"", a baffling phenomenon where heavy downpours leave hundreds of fish scattered on the ground. "	0	AFP FactCheck	LATIN AMERICA	25 October 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9QB469-1		
43	Covid-19 vaccines can cause male impotence, saying a relative's friend in Trinidad suffered that condition as well as testicular swelling after being immunized. 	0	AFP FactCheck	LATIN AMERICA	14 September 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MU4CR-1		
44	A Mexican politician was stripping while giving a speech against corruption and poverty. 	0	AFP FactCheck	LATIN AMERICA	7 September 2021	https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MB6JK-1		
45	The inclusion of five countries in the Brics means that the bloc manages 80% of the world's oil supply.	0	AFP FactCheck	LATIN AMERICA	13 September 2023	https://checamos.afp.com/doc.afp.com.33V64V7		A inclusão de cinco países ao Brics, grupo de grandes economias emergentes, suscitou alegações nas redes sociais de que o bloco passaria a administrar 80% da oferta de petróleo mundial.
46	Daniel Noboa, candidate for the presidency of Ecuador, announced in an interview on KCH Noticias on September 11, 2023 that he will close religious schools if he is the winner in the early elections on October 22	0	AFP FactCheck	LATIN AMERICA	22 September 2023	https://factual.afp.com/doc.afp.com.33W92KX		El candidato a la presidencia de Ecuador, Daniel Noboa, no anunció en una entrevista en KCH Noticias el 11 de septiembre de 2023 que cerrará los colegios religiosos si resulta ganador en las elecciones anticipadas el 22 de octubre, a diferencia de lo que aseguran publicaciones compartidas 
47	The government of former president Jair Bolsonaro (PL) generated more jobs than the mandates of Luiz Inácio Lula da Silva (PT) and Dilma Rousseff (PT) combined	0	AFP FactCheck	LATIN AMERICA	18 September 2023	https://checamos.afp.com/doc.afp.com.33VG4RA		O governo do ex-presidente Jair Bolsonaro (PL) não gerou mais empregos do que os mandatos de Luiz Inácio Lula da Silva (PT) e Dilma Rousseff (PT) juntos
48	President Santiago Peña has declared war on Argentina	0	AFP FactCheck	LATIN AMERICA	21 September 2023	https://factual.afp.com/doc.afp.com.33W23YF		el presidente Santiago Peña le declaró la guerra a Argentina.
49	The independent expert from the United Nations Víctor Madrigal-Borloz presented a report on the “intersections” between two human rights: freedom of worship and non-discrimination, warning “Christians” that if they did not accept the “legalization of pedophilia” they would be “excluded from society.”	0	AFP FactCheck	LATIN AMERICA	15 August 2023	https://checamos.afp.com/doc.afp.com.33R69MR		o especialista independente da Organização das Nações Unidas Víctor Madrigal-Borloz apresentou um relatório sobre as “interseções” entre dois direitos humanos: a liberdade de culto e a não discriminação. Mas usuários nas redes sociais compartilharam mais de 11 mil vezes, desde 6 de agosto, que o especialista alertou os “cristãos” que, se não aceitassem a “legalização da pedofilia”, seriam “excluídos da sociedade”
50	The Electoral Observation Mission of the Organization of American States (OAS) asked to cancel the elections of August 20, 2023 in Ecuador	0	AFP FactCheck	LATIN AMERICA	30 August 2023	https://factual.afp.com/doc.afp.com.33TX3QF		La Misión de Observación Electoral de la Organización de Estados Americanos (OEA) no pidió anular las elecciones del 20 de agosto de 2023 en Ecuador
51	Cristiano Ronaldo converted to Buddhism and became a monk. 	0	AFP FactCheck	EUROPE	25 August 2023	https://factcheck.afp.com/doc.afp.com.33RA9K6		
52	After a Sweden-based Iraqi refugee burned pages of the Koran in June 2023, the Swedish presidential palace was on fire and the blaze was an act of divine retribution.	0	AFP FactCheck	EUROPE	27 July 2023	https://factcheck.afp.com/doc.afp.com.33PN9ZT		
53	"Serbia is banning showings of the new ""Barbie"" movie because it features a distorted map of the Balkan region."	0	AFP FactCheck	EUROPE	25 July 2023	https://factcheck.afp.com/doc.afp.com.33PV7DD		
